"Module Version",RG,Created,Hidden,Warning
Spryker.Stock:8.4.0,3877,2022-02-22T13:14:12+00:00,,
Spryker.Shipment:8.10.0,3877,2022-02-22T13:14:10+00:00,,
Spryker.SalesProductConnector:1.7.0,3877,2022-02-22T13:14:07+00:00,,
Spryker.Sales:11.29.0,3877,2022-02-22T13:14:05+00:00,,
Spryker.Propel:3.34.2,3877,2022-02-22T13:14:03+00:00,,
Spryker.ProductValidity:1.2.0,3877,2022-02-22T13:14:01+00:00,,
Spryker.ProductSearch:5.15.0,3877,2022-02-22T13:14:00+00:00,,
Spryker.ProductOffer:1.3.0,3877,2022-02-22T13:13:57+00:00,,
Spryker.ProductImage:3.12.0,3877,2022-02-22T13:13:55+00:00,,
Spryker.ProductExtension:1.3.0,3877,2022-02-22T13:13:53+00:00,,
Spryker.ProductDiscontinued:1.7.0,3877,2022-02-22T13:13:52+00:00,,
Spryker.ProductBundle:7.11.0,3877,2022-02-22T13:13:50+00:00,,
Spryker.Product:6.28.0,3877,2022-02-22T13:13:48+00:00,,
Spryker.PriceProduct:4.33.0,3877,2022-02-22T13:13:46+00:00,,
Spryker.Oms:11.16.1,3877,2022-02-22T13:13:44+00:00,,
Spryker.Merchant:3.5.1,3877,2022-02-22T13:13:42+00:00,,
Spryker.Availability:9.14.0,3877,2022-02-22T13:13:40+00:00,,
SprykerShop.MultiCartPage:2.5.1,,2022-02-21T16:44:24+00:00,,
SprykerEco.Adyen:1.11.0,3869,2022-02-21T13:57:08+00:00,,
Spryker.Discount:9.25.0,3866,2022-02-21T09:50:13+00:00,,
Spryker.ConfigurableBundleDataImport:0.2.1,3964,2022-02-17T12:37:13+00:00,,
Spryker.Development:3.32.2,3978,2022-02-17T09:46:15+00:00,,
Spryker.CustomerApi:0.2.1,3978,2022-02-17T09:46:13+00:00,,
Spryker.Api:0.4.1,3978,2022-02-17T09:46:12+00:00,,
Spryker.Log:3.13.0,3958,2022-02-17T09:20:05+00:00,,
Spryker.DiscountPromotion:4.6.0,3974,2022-02-16T14:55:08+00:00,,
Spryker.Kernel:3.65.0,3886,2022-02-15T16:03:11+00:00,,
Spryker.ProductStorageExtension:1.7.0,3944,2022-02-11T13:43:02+00:00,,
Spryker.ProductStorage:1.35.0,3944,2022-02-11T13:43:00+00:00,,
Spryker.ProductPageSearchExtension:1.6.0,3944,2022-02-11T13:42:59+00:00,,
Spryker.ProductPageSearch:3.27.0,3944,2022-02-11T13:42:57+00:00,,
Spryker.ProductOfferMerchantPortalGuiExtension:1.0.0,3944,2022-02-11T13:42:55+00:00,,
Spryker.ProductOfferMerchantPortalGui:1.6.0,3944,2022-02-11T13:42:53+00:00,,
Spryker.ProductOfferGui:1.1.0,3944,2022-02-11T13:42:51+00:00,,
Spryker.ProductMerchantPortalGui:2.0.0,3944,2022-02-11T13:42:49+00:00,,
